English,Ukrainian
force into,примушувати
remedial,виправний
blazon,висвітлений
gratifying,задоволений
single-mindedness,цілеспрямований
decline,зниження
give over to,передати
heresy,єресь
pressurized,тиск
self-evidently,очевидний
coax,терпіливо переконати
pressed,важка ситуація
bribe,обіцянка
submission,прийняття програшу
devote to,витрачати час щось
perverse,збочений
secrete,таємно брати/покласти
prise,використовувати силу
peek into,заглянути
invariably,завжди/незміний
assuage,неприємні відчуття були менш сильними
exuberant,дуже енергійний
plead for,благати
pump in,інвестування
plainly,спосіб який легко побачити
coerce,примушувати
meddle,втручатися
lug,"переносити щось важке
wretched,жалюгідний
resolved,вирішений
daring,сміливий
stance,позиція
shortage,дефіцит
keep up with,йти в ногу з
apply yourself,наполегливо працювати
end up,нарешті
stigmatize,"ставитися несправедливо
exert,використовувати свою владу
resistant,стійкий
paramount,найважливіший
drill into,розповідати одне і теж
compel,примушувати
reservation,сумнів
voracious,ненажерливий
sheer,підкреслюється важливість